"STATION","NAME","DATE","DP10","DT32","DX90","PRCP","TAVG","TMAX","TMIN"
"USC00027716","SELIGMAN, AZ US","2000-01","1","26","0","0.30","40.8","57.7","24.0"
"USC00027716","SELIGMAN, AZ US","2000-02","4","23",,"1.43",,,"27.0"
"USC00027716","SELIGMAN, AZ US","2000-03","6","25","0","1.53","45.4","61.5","29.3"
"USC00027716","SELIGMAN, AZ US","2000-04","0","6","0","0.00","55.7","76.1","35.3"
"USC00027716","SELIGMAN, AZ US","2000-05","0","0","9","0.00","64.7","85.2","44.2"
"USC00027716","SELIGMAN, AZ US","2000-06","2","0","19","0.41","71.9","91.5","52.2"
"USC00027716","SELIGMAN, AZ US","2000-07","2","0","22","0.63","74.5","94.2","54.8"
"USC00027716","SELIGMAN, AZ US","2000-08","8","0","14","2.92","73.9","89.5","58.3"
"USC00027716","SELIGMAN, AZ US","2000-09","1","0","10","0.35","68.0","86.3","49.7"
"USC00027716","SELIGMAN, AZ US","2000-10","6","5","1","3.31","54.9","70.9","38.9"
"USC00027716","SELIGMAN, AZ US","2000-11","1","26","0","0.10","39.5","55.2","23.9"
"USC00027716","SELIGMAN, AZ US","2000-12","0","29","0","0.03","40.8","59.0","22.5"
"USC00027716","SELIGMAN, AZ US","2001-01","4","27","0","1.36","35.6","48.3","23.0"
"USC00027716","SELIGMAN, AZ US","2001-02","3","23","0","0.73","38.8","52.8","24.8"
"USC00027716","SELIGMAN, AZ US","2001-03","3","23","0","1.23","47.1","63.5","30.6"
"USC00027716","SELIGMAN, AZ US","2001-04","2","13","0","0.64","50.5","68.0","33.0"
"USC00027716","SELIGMAN, AZ US","2001-05","0","2","10","0.00","63.6","85.0","42.1"
"USC00027716","SELIGMAN, AZ US","2001-06","1","0","20","0.29","70.0","91.3","48.8"
"USC00027716","SELIGMAN, AZ US","2001-07","2","0","18","1.18","73.8","91.7","55.9"
"USC00027716","SELIGMAN, AZ US","2001-08","5","0","20","2.04","73.8","91.6","55.9"
