"STATION","NAME","DATE","DP10","DX32","DX90","PRCP","TAVG","TMAX","TMIN"
"USW00093919","MCCOMB AIRPORT, MS US","2000-01",6,0,0,3.01,51.5,62.1,40.9
"USW00093919","MCCOMB AIRPORT, MS US","2000-02",2,0,0,1.46,57.3,70.2,44.5
"USW00093919","MCCOMB AIRPORT, MS US","2000-03",8,0,0,3.73,62.3,74,50.6
"USW00093919","MCCOMB AIRPORT, MS US","2000-04",5,0,0,4.26,63.7,76.1,51.3
"USW00093919","MCCOMB AIRPORT, MS US","2000-05",2,0,12,0.62,76.8,87.8,65.9
"USW00093919","MCCOMB AIRPORT, MS US","2000-06",7,0,21,6.54,79.6,90.7,68.6
"USW00093919","MCCOMB AIRPORT, MS US","2000-07",7,0,28,2.01,83.3,95.6,71
"USW00093919","MCCOMB AIRPORT, MS US","2000-08",6,0,30,4.03,83.4,95.5,71.4
"USW00093919","MCCOMB AIRPORT, MS US","2000-09",6,0,11,3.91,74.8,87.7,62
"USW00093919","MCCOMB AIRPORT, MS US","2000-10",1,0,1,1.2,65.7,79.7,51.7
"USW00093919","MCCOMB AIRPORT, MS US","2000-11",12,0,0,6.41,53.5,64.7,42.2
"USW00093919","MCCOMB AIRPORT, MS US","2000-12",7,0,0,3.24,42.9,53.6,32.2
"USW00093919","MCCOMB AIRPORT, MS US","2001-01",7,0,0,4.67,45.3,56.2,34.4
"USW00093919","MCCOMB AIRPORT, MS US","2001-02",6,0,0,3.73,56.9,68.1,45.6
"USW00093919","MCCOMB AIRPORT, MS US","2001-03",8,0,0,10.05,54.9,65.6,44.1
"USW00093919","MCCOMB AIRPORT, MS US","2001-04",3,0,0,1.66,69,80,58
"USW00093919","MCCOMB AIRPORT, MS US","2001-05",5,0,9,1.19,73.3,86,60.7
"USW00093919","MCCOMB AIRPORT, MS US","2001-06",8,0,9,8.57,77.3,87.5,67.2
"USW00093919","MCCOMB AIRPORT, MS US","2001-07",7,0,25,5.54,80.8,90.8,70.8
"USW00093919","MCCOMB AIRPORT, MS US","2001-08",10,0,16,7.01,79.9,88.7,71
"USW00093919","MCCOMB AIRPORT, MS US","2001-09",6,0,3,5.57,75.1,85,65.3
"USW00093919","MCCOMB AIRPORT, MS US","2001-10",4,0,0,4.02,63.5,76,51
"USW00093919","MCCOMB AIRPORT, MS US","2001-11",4,0,0,4.59,61.9,75.6,48.2
"USW00093919","MCCOMB AIRPORT, MS US","2001-12",6,0,0,3.59,54.1,65.2,43
"USW00093919","MCCOMB AIRPORT, MS US","2002-01",6,0,0,6.3,51.5,62.7,40.2
"USW00093919","MCCOMB AIRPORT, MS US","2002-02",4,0,0,2.09,49.8,62.2,37.4
"USW00093919","MCCOMB AIRPORT, MS US","2002-03",8,0,0,7.79,60.1,71.8,48.4
"USW00093919","MCCOMB AIRPORT, MS US","2002-04",1,0,0,3.52,69.9,79.7,60.1
"USW00093919","MCCOMB AIRPORT, MS US","2002-05",4,0,11,6.39,74,85.6,62.3
"USW00093919","MCCOMB AIRPORT, MS US","2002-06",7,0,14,3.79,78.3,88.1,68.4
"USW00093919","MCCOMB AIRPORT, MS US","2002-07",12,0,21,12.43,80.9,90.4,71.3
"USW00093919","MCCOMB AIRPORT, MS US","2002-08",10,0,16,11.27,80.2,89,71.4
